-2,5,20,-1,-50,-3,-11,-3
-6,-6,5,30,25,30,11,-5
1,1,-10,-42,-59,-37,-12,5
2,5,28,29,19,-12,-1,0
-7,-9,-26,-50,26,-5,-5,-5
-1,-1,-34,-6,84,4,-8,0
-2,5,20,-1,-50,-3,-11,-3
-6,-6,5,30,25,30,11,-5
1,1,-10,-42,-59,-37,-12,5
2,5,28,29,19,-12,-1,0
-7,-9,-26,-50,26,-5,-5,-5
-2,2,10,50,43,7,-1,-1
0,1,-14,-18,-24,-4,-13,-5
-6,-6,5,30,25,30,11,-5
1,1,-10,-42,-59,-37,-12,5
2,5,28,29,19,-12,-1,0
-7,-9,-26,-50,26,-5,-5,-5
-2,2,10,50,43,7,-1,-1
0,1,-14,-18,-24,-4,-13,-5
0,2,7,30,-14,6,7,1
1,-1,-7,-35,-23,7,-2,-3
2,5,28,29,19,-12,-1,0
-7,-9,-26,-50,26,-5,-5,-5
-2,2,10,50,43,7,-1,-1
0,1,-14,-18,-24,-4,-13,-5
0,2,7,30,-14,6,7,1
1,-1,-7,-35,-23,7,-2,-3
-7,-14,-8,-23,64,1,0,-1
1,2,-12,-18,-31,12,3,0
-2,2,10,50,43,7,-1,-1
0,1,-14,-18,-24,-4,-13,-5
0,2,7,30,-14,6,7,1
1,-1,-7,-35,-23,7,-2,-3
-7,-14,-8,-23,64,1,0,-1
1,2,-12,-18,-31,12,3,0
-2,4,8,19,12,-12,-15,-9
-6,-6,-1,9,-16,42,20,22
0,2,7,30,-14,6,7,1
1,-1,-7,-35,-23,7,-2,-3
-7,-14,-8,-23,64,1,0,-1
1,2,-12,-18,-31,12,3,0
-2,4,8,19,12,-12,-15,-9
-6,-6,-1,9,-16,42,20,22
2,7,12,7,-28,-45,-34,-41
-8,-13,-19,-8,48,75,26,5
-7,-14,-8,-23,64,1,0,-1
1,2,-12,-18,-31,12,3,0
-2,4,8,19,12,-12,-15,-9
-6,-6,-1,9,-16,42,20,22
2,7,12,7,-28,-45,-34,-41
-8,-13,-19,-8,48,75,26,5
-2,1,-2,-19,-69,-3,1,1
4,5,14,5,68,-22,-4,1
-2,4,8,19,12,-12,-15,-9
-6,-6,-1,9,-16,42,20,22
2,7,12,7,-28,-45,-34,-41
-8,-13,-19,-8,48,75,26,5
-2,1,-2,-19,-69,-3,1,1
4,5,14,5,68,-22,-4,1
